2026-04-04 22:58:38 | INFO | core | [INFO] ✨ Скринер начал работу.
2026-04-04 22:58:38 | WARNING | core | 🔄 Инициализация aiohttp сессии...
2026-04-04 22:58:39 | INFO | core | 🌐 Инициализация WS стакана для 521 пар...
2026-04-04 22:58:39 | INFO | core | Символы загружены
2026-04-04 22:58:47 | INFO | core | ✅ Готов сигнал по монете TRUUSDT.
2026-04-04 22:59:39 | INFO | core | 🔄 Перезапуск WS стакана (изменились символы)...
2026-04-04 22:59:39 | INFO | core | 🌐 Инициализация WS стакана для 521 пар...
2026-04-04 22:59:58 | INFO | core | Остановка скринера, закрытие сессий и задач...
2026-04-04 22:59:58 | INFO | core | Ожидание завершения 1 фоновых задач...
2026-04-04 22:59:58 | INFO | core | Все процессы корректно завершены.
2026-04-04 23:07:52 | INFO | core | [INFO] ✨ Скринер начал работу.
2026-04-04 23:07:52 | WARNING | core | 🔄 Инициализация aiohttp сессии...
2026-04-04 23:07:52 | INFO | core | 🌐 Инициализация WS стакана для 521 пар...
2026-04-04 23:07:52 | INFO | core | Символы загружены
2026-04-04 23:08:53 | INFO | core | 🔄 Перезапуск WS стакана: добавлено 11 новых монет. (Пропало: 11)
2026-04-04 23:08:53 | INFO | core | 🌐 Ре-Инициализация WS стакана для 521 пар...
2026-04-04 23:09:23 | INFO | core | Остановка скринера, закрытие сессий и задач...
2026-04-04 23:09:23 | INFO | core | Ожидание завершения 1 фоновых задач...
2026-04-04 23:09:23 | INFO | core | Все процессы корректно завершены.
2026-04-04 23:15:26 | INFO | core | [INFO] ✨ Скринер начал работу.
2026-04-04 23:15:26 | WARNING | core | 🔄 Инициализация aiohttp сессии...
2026-04-04 23:15:27 | INFO | core | 🌐 Инициализация WS стакана для 521 пар...
2026-04-04 23:15:27 | INFO | core | Символы загружены
2026-04-04 23:15:44 | INFO | core | ✅ Готов сигнал по монете TRUUSDT.
2026-04-04 23:15:46 | INFO | core | ✅ Готов сигнал по монете DEGOUSDT.
2026-04-04 23:16:33 | DEBUG | core | 📉 Стакан НЕ подтверждён для STOUSDT. Пропускаем.
2026-04-04 23:16:35 | DEBUG | core | 📈 Тренд НЕ подтверждён для STOUSDT. Пропускаем.
2026-04-04 23:16:35 | DEBUG | core | 📈 Тренд НЕ подтверждён для STOUSDT. Пропускаем.
2026-04-04 23:16:37 | DEBUG | core | 📈 Тренд НЕ подтверждён для STOUSDT. Пропускаем.
2026-04-04 23:16:37 | DEBUG | core | 📈 Тренд НЕ подтверждён для STOUSDT. Пропускаем.
2026-04-04 23:16:38 | DEBUG | core | 📈 Тренд НЕ подтверждён для STOUSDT. Пропускаем.
2026-04-04 23:16:40 | DEBUG | core | 📈 Тренд НЕ подтверждён для STOUSDT. Пропускаем.
2026-04-04 23:16:42 | DEBUG | core | 📈 Тренд НЕ подтверждён для STOUSDT. Пропускаем.
2026-04-04 23:16:43 | DEBUG | core | 📈 Тренд НЕ подтверждён для STOUSDT. Пропускаем.
2026-04-04 23:16:44 | DEBUG | core | 📈 Тренд НЕ подтверждён для STOUSDT. Пропускаем.
2026-04-04 23:16:45 | DEBUG | core | 📈 Тренд НЕ подтверждён для STOUSDT. Пропускаем.
2026-04-04 23:16:46 | DEBUG | core | 📈 Тренд НЕ подтверждён для STOUSDT. Пропускаем.
2026-04-04 23:16:47 | DEBUG | core | 📈 Тренд НЕ подтверждён для STOUSDT. Пропускаем.
2026-04-04 23:16:47 | DEBUG | core | 📈 Тренд НЕ подтверждён для SIRENUSDT. Пропускаем.
2026-04-04 23:16:48 | DEBUG | core | 📈 Тренд НЕ подтверждён для STOUSDT. Пропускаем.
2026-04-04 23:16:48 | DEBUG | core | 📈 Тренд НЕ подтверждён для SIRENUSDT. Пропускаем.
2026-04-04 23:16:49 | DEBUG | core | 📈 Тренд НЕ подтверждён для STOUSDT. Пропускаем.
2026-04-04 23:16:49 | DEBUG | core | 📉 Стакан НЕ подтверждён для SIRENUSDT. Пропускаем.
2026-04-04 23:16:50 | DEBUG | core | 📈 Тренд НЕ подтверждён для STOUSDT. Пропускаем.
2026-04-04 23:16:51 | DEBUG | core | 📈 Тренд НЕ подтверждён для STOUSDT. Пропускаем.
2026-04-04 23:16:53 | DEBUG | core | 📉 Стакан НЕ подтверждён для STOUSDT. Пропускаем.
2026-04-04 23:16:53 | DEBUG | core | 📉 Стакан НЕ подтверждён для STOUSDT. Пропускаем.
2026-04-04 23:16:54 | DEBUG | core | 📈 Тренд НЕ подтверждён для STOUSDT. Пропускаем.
2026-04-04 23:16:55 | DEBUG | core | 📈 Тренд НЕ подтверждён для STOUSDT. Пропускаем.
2026-04-04 23:16:57 | DEBUG | core | 📈 Тренд НЕ подтверждён для STOUSDT. Пропускаем.
2026-04-04 23:18:12 | DEBUG | core | 📈 Тренд НЕ подтверждён для PTBUSDT. Пропускаем.
2026-04-04 23:18:13 | DEBUG | core | 📈 Тренд НЕ подтверждён для PTBUSDT. Пропускаем.
2026-04-04 23:18:43 | DEBUG | core | 📉 Стакан НЕ подтверждён для DRIFTUSDT. Пропускаем.
2026-04-04 23:18:44 | DEBUG | core | 📉 Стакан НЕ подтверждён для DRIFTUSDT. Пропускаем.
2026-04-04 23:18:46 | DEBUG | core | 📉 Стакан НЕ подтверждён для DRIFTUSDT. Пропускаем.
2026-04-04 23:18:48 | DEBUG | core | 📉 Стакан НЕ подтверждён для DRIFTUSDT. Пропускаем.
2026-04-04 23:18:48 | DEBUG | core | 📉 Стакан НЕ подтверждён для DRIFTUSDT. Пропускаем.
2026-04-04 23:18:49 | DEBUG | core | 📉 Стакан НЕ подтверждён для DRIFTUSDT. Пропускаем.
2026-04-04 23:19:00 | DEBUG | core | 📉 Стакан НЕ подтверждён для DRIFTUSDT. Пропускаем.
2026-04-04 23:19:01 | DEBUG | core | 📉 Стакан НЕ подтверждён для DRIFTUSDT. Пропускаем.
2026-04-04 23:19:11 | DEBUG | core | 📉 Стакан НЕ подтверждён для DRIFTUSDT. Пропускаем.
2026-04-04 23:19:11 | DEBUG | core | 📉 Стакан НЕ подтверждён для DRIFTUSDT. Пропускаем.
2026-04-04 23:19:14 | DEBUG | core | 📉 Стакан НЕ подтверждён для DRIFTUSDT. Пропускаем.
2026-04-04 23:19:15 | DEBUG | core | 📉 Стакан НЕ подтверждён для DRIFTUSDT. Пропускаем.
2026-04-04 23:19:17 | DEBUG | core | 📉 Стакан НЕ подтверждён для SIRENUSDT. Пропускаем.
2026-04-04 23:19:17 | DEBUG | core | 📉 Стакан НЕ подтверждён для DRIFTUSDT. Пропускаем.
