2026-04-05 13:48:18 | DEBUG | signal | TRUTHUSDT: Δ 5.0, cur: 0.4449388209121258, ttl: 10
2026-04-05 13:48:18 | DEBUG | signal | FFUSDT: Δ 5.0, cur: 0.0, ttl: 10
2026-04-05 13:48:18 | DEBUG | signal | NOMUSDT: Δ 5.0, cur: 0.0, ttl: 10
2026-04-05 13:48:18 | DEBUG | signal | AKEUSDT: Δ 5.0, cur: -0.0722021660649837, ttl: 10
2026-04-05 13:48:18 | DEBUG | signal | LIGHTUSDT: Δ 5.0, cur: -0.12172854534388663, ttl: 10
2026-04-05 13:48:18 | DEBUG | signal | HANAUSDT: Δ 5.0, cur: 0.04916420845624185, ttl: 10
2026-04-05 13:48:18 | DEBUG | signal | MIRAUSDT: Δ 5.0, cur: 0.0, ttl: 10
2026-04-05 13:48:18 | DEBUG | signal | XPLUSDT: Δ 5.0, cur: 0.08833922261484353, ttl: 10
2026-04-05 13:48:18 | DEBUG | signal | COAIUSDT: Δ 5.0, cur: -0.17337031900138714, ttl: 10
2026-04-05 13:48:19 | DEBUG | signal | HEMIUSDT: Δ 5.0, cur: -0.13123359580053096, ttl: 10
2026-04-05 13:48:19 | DEBUG | signal | BLESSUSDT: Δ 5.0, cur: -0.555555555555565, ttl: 10
2026-04-05 13:48:19 | DEBUG | signal | XANUSDT: Δ 5.0, cur: -0.2721088435374157, ttl: 10
2026-04-05 13:48:19 | DEBUG | signal | 0GUSDT: Δ 5.0, cur: 0.02025111381125739, ttl: 10
2026-04-05 13:48:19 | DEBUG | signal | TRADOORUSDT: Δ 5.0, cur: -0.06443298969072886, ttl: 10
2026-04-05 13:48:19 | DEBUG | signal | ASTERUSDT: Δ 5.0, cur: 0.0, ttl: 10
2026-04-05 13:48:19 | DEBUG | signal | STBLUSDT: Δ 5.0, cur: 0.0, ttl: 10
2026-04-05 13:48:19 | DEBUG | signal | AIAUSDT: Δ 5.0, cur: -0.01940052381414892, ttl: 10
2026-04-05 13:48:19 | DEBUG | signal | BARDUSDT: Δ 5.0, cur: 0.0, ttl: 10
2026-04-05 13:48:19 | DEBUG | signal | TOSHIUSDT: Δ 5.0, cur: 0.0, ttl: 10
2026-04-05 13:48:19 | DEBUG | signal | ZKCUSDT: Δ 5.0, cur: 0.0, ttl: 10
